abonent =>  predplatiteľ
fluktuácia =>  prelietavosť
fluktuácia =>  premenlivosť
fluktuácia =>  výkyv
fňukať =>  kvíliť
fňukať =>  lamentovať
fňukať =>  nariekať
fňukať =>  oplakávať
fňukať =>  plakať
fňukať =>  stonať
fňukať =>  trúchliť
fňukať =>  vyť
fonetický =>  hlasový
formácia =>  jednotka
formácia =>  útvar
fosília =>  skamenelina
fotka =>  fotografia
fotka =>  pozitív
fotka =>  snímok
fotoaparát =>  kamera
fraktúra =>  zlomenina
francúzsky kľúč =>  hasák
fraška =>  komédia
frekvencia =>  kmitočet
frekventant =>  účastník
frivolný =>  necudný
fúkať =>  vanúť
fúkať =>  viať
fúkať =>  zavanúť
funkcia profesora =>  profesorské miesto
funkcia profesora =>  profesúra
funkčný =>  použiteľný
funkčný =>  vhodný
funkčný =>  účelný
pochovanie =>  pohreb
pochovanie =>  pohrebný obrad
pochovanie =>  smútočný obrad
fúria =>  xantipa
fušovať =>  miešať sa
fušovať =>  pliesť sa
fušovať =>  strkať nos
fušovať =>  zasahovať
fyzický =>  hmotný
fyzický =>  materiálny
fyzický =>  telesný
fyziognómia =>  výraz tváre
gašpar =>  herec
gašpar =>  klaun
gašpar =>  komediant
gašpar =>  pajác
gašpar =>  šašo
gáza =>  gázový obväz
gáza =>  mul
gáza =>  obväz
gáža =>  mzda
gáža =>  plat
gáža =>  príjem
gáža =>  výplata
gebuľa =>  kokos
genéza =>  pôvod
genéza =>  vznik
genéza =>  začiatok
genéza =>  zdroj
genéza =>  zrod
genitál =>  genitálie
genitál =>  pohlavné údy
genitál =>  pohlavné ústrojenstvo
genitál =>  prirodzenie
germanizovať =>  ponemčiť
gestikulovať =>  posunky
gestikulovať =>  robiť gestá
gigant =>  kolos
gigant =>  obor
gigant =>  ozruta
gigant =>  titan
gigant =>  velikán
girlanda =>  veniec
girlanda =>  venček
gladiola =>  mečík
glorifikovať =>  oslavovať
glorifikovať =>  ospevovať
glorifikovať =>  sláviť
glorifikovať =>  velebiť
glorifikovať =>  ďakovať
golfky =>  pumpky
gombík =>  tlačidlo
grafický list =>  reprodukcia
dôležitý =>  markantný
dôležitý =>  mocný
dôležitý =>  mohutný
dôležitý =>  robustný
dôležitý =>  silný
dôležitý =>  vplyvný
dôležitý =>  významný
gravidita =>  tehotenstvo
gravidita =>  ťarchavosť
gravitácia =>  príťažlivosť
grilovať =>  opekať na ražni
grimasa =>  posmešok
grimasa =>  úškľabok
grog =>  punč
grošovaný =>  pestrofarebný
grošovaný =>  pestrý
grošovaný =>  strakatý
groteskný =>  parodujúci
groteskný =>  smiešny
gúľať =>  kotúľať
gúľať sa =>  kotúľať sa
guľatý =>  guľovitý
guľatý =>  guľový
guľatý =>  klenutý
guľatý =>  oblý
guľatý =>  okrúhly
guľatý =>  zaoblený
guľatý =>  zaokrúhlený
gurmán =>  labužník
gymnastika =>  telocvik
hlavolam =>  hádanka
hlavolam =>  problém
hlavolam =>  tajomstvo
hlavolam =>  záhada
hašteriť sa =>  hádať sa
hašteriť sa =>  vadiť sa
hadovitý =>  hadí
hod =>  hodenie
hod =>  hádzanie
hod =>  vrh
hod =>  vrhanie
háj =>  lesík
halda =>  hora
halda =>  hromada
halda =>  kopa
halda =>  kopec
halda =>  mnoho
halda =>  niekoľko desiatok
halda =>  spústa
halda =>  veľa
halový =>  sálový
haluz =>  vetva
bojazlivý =>  hanblivý
bojazlivý =>  krotký
bojazlivý =>  nesmelý
bojazlivý =>  nevýbojný
bojazlivý =>  ostýchavý
bojazlivý =>  plachý
bojazlivý =>  tichý
bojazlivý =>  zanovitý
handicap =>  hendikep
handicap =>  neprospech
handicap =>  nevýhoda
handra =>  utierka
hanobenie =>  očernenie
hanobenie =>  špina
hanopis =>  pamflet
haraburdie =>  krámy
harmónia =>  svornosť
harmónia =>  súhlas
harmónia =>  súhra
harmónia =>  súlad
harmónia =>  súzvuk
harmónia =>  zhoda
harmonický =>  melodický
harmonický =>  spevný
harmonický =>  ľubozvučný
harmonizovať =>  ladiť
harmonogram =>  rozvrh
hatiť =>  kaziť
hatiť =>  mariť
háv =>  oblečenie
háv =>  odev
háv =>  ošatenie
háv =>  róba
háv =>  rúcho
háv =>  úbor
háv =>  šat
háv =>  šaty
hazard =>  hazardná hra
hazardovať =>  odvážiť sa
hazardovať =>  riskovať
hazardovať =>  trúfať si
hektický =>  rušný
hektický =>  živý
helénsky =>  starogrécky
helma =>  prilba
hergot =>  sakra
hermetický =>  nepriedušný
hermetický =>  vzduchotesný
bohatiersky =>  heroický
bohatiersky =>  hrdinný
bohatiersky =>  hrdinský
bohatiersky =>  udatný
hierarchia =>  poradie
hierarchia =>  postupnosť
hierarchia =>  rad
hierarchia =>  rada
hierarchia =>  skupina
hierarchia =>  sled
hierarchia =>  séria
hieroglyfické písmo =>  obrázkové písmo
historka =>  naratívum
historka =>  príbeh
historka =>  rozprávanie
historka =>  story
historka =>  vypravovanie
hit =>  šláger
prehrabať =>  prehľadať
prehrabať =>  prezerať
prehrabať =>  prešťúrať
hladina =>  úroveň
hladiť =>  leštiť
hlásateľ =>  spíker
hlásať =>  oznamovať
hlásať =>  poučovať
hlásať =>  propagovať
hlásať =>  rozchyrovať
hlásať =>  rozširovať
hlásať =>  šíriť
hlasitý =>  hlučný
hlasne =>  nahlas
hlasovanie =>  voľby
hlasovať =>  voliť
hláška =>  notifikácia
hláška =>  upozornenie
gebuľa =>  hlava
gebuľa =>  hlavička
gebuľa =>  hlávka
gebuľa =>  mozog
gebuľa =>  palica
hlava rodiny =>  hospodár
hlava rodiny =>  správca
hlavička =>  nadpis
hlavička =>  názov
hlavička =>  titul
hlavička =>  titulok
hlavička =>  záhlavie
na začiatku =>  najskôr
na začiatku =>  napred
na začiatku =>  spočiatku
na začiatku =>  sprvu
na začiatku =>  v prvej rade
na začiatku =>  v prvom rade
na začiatku =>  za prvé
na začiatku =>  zo začiatku
hlavný =>  kľúčový
hlavný =>  prevažný
hlavný =>  prevažujúci
hlavný =>  prvoradý
hlavný =>  rozhodujúci
hlavný =>  základný
hlavný =>  zásadný
hlavný =>  ústredný
hĺbenie =>  kopanie
hĺbiť =>  prehĺbiť
hĺbiť =>  vybrať
hĺbiť =>  vyhrabať
hĺbiť =>  vyhĺbiť
hĺbiť =>  vykopať
hlboko vtisnúť =>  napchať
hlboko vtisnúť =>  natlačiť
hlboko vtisnúť =>  vopchať
hlboko vtisnúť =>  vtisnúť
hlboko vtisnúť =>  vtlačiť
hlboko vtisnúť =>  vštepiť
hlboko vtisnúť =>  vštiepiť
hlboký žiaľ =>  kajúcnosť
hlboký žiaľ =>  pokánie
hlboký žiaľ =>  poľutovanie
hlboký žiaľ =>  skrúšenosť
hlboký žiaľ =>  smútok
hlboký žiaľ =>  súcit
hlboký žiaľ =>  sústrasť
hlboký žiaľ =>  výčitky svedomia
hlboký žiaľ =>  zármutok
hlboký žiaľ =>  ľútosť
hlboký žiaľ =>  žiaľ
hliadka =>  stráž
hliadka =>  strážnik
hlúčik =>  zbeh
hlúčik =>  zhluk
hlúčik =>  zoskupenie
hlupáčik =>  naivka
chmuľo =>  hlupák
chmuľo =>  hňup
chmuľo =>  ignorant
chmuľo =>  nevzdelanec
chmuľo =>  obmedzenec
chmuľo =>  osol
chmuľo =>  somár
chmuľo =>  sprosták
chmuľo =>  tupec
hmatať =>  tápať
hmatať =>  šmátrať
hmla =>  opar
hmla =>  para
hmota =>  látka
hmota =>  materiál
hmota =>  substancia
hnať =>  honiť
hnať =>  poháňať
hnať =>  prenasledovať
hnať =>  stíhať
hnať sa =>  letieť
hnať sa =>  rútiť sa
hnať sa =>  uháňať
hniezdiť =>  zahniezdiť sa
hnijúci =>  hnilobný
hnijúci =>  zahnívajúci
hniloba =>  kazenie
hniloba =>  pokazenie
hniloba =>  rozpad
hniloba =>  skaza
hniloba =>  zhoršenie
hniloba =>  zničenie
hnisajúci =>  septický
hniť =>  zahnívať
hniť =>  zhniť
hnojisko =>  skládka
hnojisko =>  smetisko
hnojiť =>  pohnojiť
hnojiť =>  zúrodniť
hnoj =>  hnus
hnoj =>  kal
hnoj =>  neporiadok
hnoj =>  nečistota
hnoj =>  svinstvo
hnoj =>  špina
hnoj =>  špinavosť
hnusne =>  ohavne
hnusný =>  na zvracanie
hnusný =>  nechutný
hnusný =>  odporný
hnusný =>  odpudivý
hnusný =>  ohavný
hnusný =>  opovrhnutia hodný
hnusný =>  protivný
hnusný =>  rozčuľujúci
hnúť sebou =>  hýbať
hnúť sebou =>  hýbať sa
hnúť sebou =>  obiehať
hnúť sebou =>  pohnúť
hnúť sebou =>  pohnúť sa
hnúť sebou =>  pohybovať
hnúť sebou =>  pohybovať sa
hobby =>  koníček
hobby =>  potešenie
hobby =>  vedľajšie zamestnanie
hobby =>  záľuba
hoblina =>  stružlina
hoblina =>  íverčok
hobľovať =>  ohobľovať
hodnosť =>  postavenie
hodnosť =>  status
hodnosť =>  stav
hodnosť =>  titul
hodnotný =>  kvalitný
hojiť =>  hojiť sa
hojiť =>  liečiť sa
hojiť =>  zaceliť sa
hojivý =>  liečebný
hojivý =>  liečivý
hold =>  poklona
holič =>  kaderník
holý =>  nahý
holý =>  neoblečený
holý =>  obnažený
homogénny =>  rovnorodý
hon =>  honba
hon =>  lov
hon =>  štvanica
honiť sa =>  štvať sa
hopsanie =>  poskakovanie
hopsať =>  poskakovať
hopsať =>  skákať
hopsať =>  tancovať
hopsať =>  vzpínať sa
hore =>  nad hlavou
hore =>  nahor
hore =>  navrch
hore =>  navrchu
hore =>  vo vzduchu
hore =>  vo výške
dolu hlavou =>  hore nohami
dolu hlavou =>  naopak
dolu hlavou =>  obrátene
horiaci =>  planúci
horiaci =>  plápolajúci
horlivý =>  neúnavný
horlivý =>  pilný
horlivý =>  príčinlivý
horlivý =>  snaživý
horlivý =>  vytrvalý
horúci =>  rozpálený
horúci =>  žeravý
horúci =>  žhavý
horúčka =>  teplota
hospodárnosť =>  sporivosť
hospodárnosť =>  šetrnosť
bar =>  hostinec
bar =>  krčma
bar =>  lokál
bar =>  nízkotriedna reštaurácia
bar =>  pohostinstvo
hostinský =>  krčmár
hosť =>  návšteva
hosť =>  návštevník
hotový =>  pripravený
hovädzí =>  volský
exkrement =>  hovno
exkrement =>  lajno
exkrement =>  moč
exkrement =>  stolica
exkrement =>  trus
exkrement =>  výkal
exkrement =>  výlučok
hovorový =>  konverzačný
hrabať sa =>  prehrabávať
hracia plocha =>  ihrisko
hracia plocha =>  závodisko
hračka =>  maličkosť
hračka =>  ľahká vec
hráč =>  karbaník
hráč =>  kartár
hradba =>  násyp
hradba =>  oporný múr
hradba =>  stena
hradba =>  val
hradba z kolov =>  palisáda
hrad =>  zámok
hať =>  hrádza
hať =>  nábrežie
hať =>  násyp
hať =>  priehrada
hať =>  zábrana
hranica =>  medza
hranica =>  pohraničie
hraničiť =>  priliehať
hraničný kameň =>  medzník
hraničný kameň =>  predel
hraničný kameň =>  zlom
rozmarný =>  smiešny
rozmarný =>  veselý
rozmarný =>  žartovný
hrb =>  hrboľ
hrb =>  hrboľček
hrb =>  nerovnosť
hrb =>  vyvýšenina
hrbiť =>  hrbiť sa
hrbiť =>  krčiť sa
hrbiť =>  nahrbiť
hrbiť =>  nahrbiť sa
hrbiť =>  prikrčiť sa
hrbiť =>  schúliť sa
hrbiť =>  skrčiť sa
hrbiť =>  zhrbiť
hrbiť =>  zhrbiť sa
hrboľatý =>  kostrbatý
hrboľatý =>  nerovný
hrboľatý =>  skalnatý
hrdlo =>  krk
hrdosť =>  nadutosť
hrdosť =>  nafúkanosť
hrdosť =>  povýšenosť
hrdosť =>  pýcha
hrdý =>  nadutý
hrdý =>  pyšný
hrdzavý =>  skorodovaný
hrdzavý =>  zhrdzavený
hriešnik =>  previnilec
hrniec =>  hrnček
hrniec =>  kanvica
hrniec =>  šálka
hrom =>  zahrmenie
hroziť =>  vyhrážať sa
hroziť =>  zastrašovať
desivý =>  desný
desivý =>  hrozný
desivý =>  otrasný
desivý =>  príšerný
desivý =>  strašný
hrôzostrašný =>  obludný
hrudné =>  prsné
hrudník =>  hruď
hrudník =>  poprsie
hrýzť =>  žuvať
huba =>  papuľa
huba =>  tlama
huba =>  hubica
huba =>  klapačka
huba =>  nátrubok
huba =>  náustok
huba =>  papuľa
huba =>  ústa
kárať =>  napomenúť
kárať =>  pokarhať
kárať =>  potrestať
hučať =>  kypieť
hučať =>  peniť
hučať =>  variť sa
hučať =>  vrieť
hučať =>  šumieť
hudobník =>  muzikant
húkačka =>  klaksón
húkačka =>  siréna
divoch =>  grobian
divoch =>  hulvát
divoch =>  nevychovanec
divoch =>  ničomník
humanita =>  ľudskosť
humorista =>  komik
humorista =>  zabávač
deka =>  huňa
deka =>  pokrovec
deka =>  pokrývka
deka =>  povlak
deka =>  povlečenie
deka =>  poťah
deka =>  prikrývka
húpanie =>  kývanie
húpať =>  kolísať
hutnícky =>  metalurgický
hvizdnúť =>  hvízdať
hvizdnúť =>  pišťať
hvizdnúť =>  pískať
hvizdnúť =>  písknuť
hvizdnúť =>  zahvízdať
hvizdnúť =>  zapískať
hybrid =>  kríženec
hybrid =>  miešanec
hýrivý =>  márnotratný
hýrivý =>  rozhadzovačný
hýrivý =>  rozmarný
hýrivý =>  roztopašný
chalupár =>  chatár
chalupár =>  domkár
chamtivosť =>  hrabivosť
chamtivý =>  chtivý
chamtivý =>  dychtivý
chamtivý =>  hrabivý
chamtivý =>  nenásytný
chamtivý =>  zištný
chamtivý =>  žiadostivý
chamtivý =>  žravý
chaotický =>  nejasný
chaotický =>  neusporiadaný
chaotický =>  popletený
chaotický =>  rozvrátený
chaotický =>  zmätený
chápajúci =>  chápavý
charakteristický =>  osobitý
charakteristický =>  príznačný
charakteristický =>  svojrázny
charakteristický =>  typický
charakteristický =>  výrazný
charakteristický =>  význačný
charakteristický znak =>  prejav
charakteristický znak =>  príznak
charakteristický znak =>  symptóm
charakter =>  letora
charakter =>  nátura
charakter =>  povaha
charakter =>  profil
charakter =>  rys
charakter =>  ráz
charakter =>  stránka
charakter =>  temperament
charakter =>  typ
charakter =>  vlastnosť
charakter =>  význam
charakter =>  znak
chátrať =>  degenerovať
chátrať =>  rozpadať sa
chátrať =>  upadať
chcenie =>  rozhodnutie
chcenie =>  vôľa
chcený =>  nenáhodný
chcený =>  schválny
chcený =>  vedomý
chcený =>  zámerný
chcený =>  úmyselný
chcený =>  účelný
chcieť =>  chystať sa
chcieť =>  hodlať
chcieť =>  mať v úmysle
chcieť =>  plánovať
chcieť =>  predsavziať si
chcieť =>  priať si
chcieť =>  rozhodnúť sa
chcieť =>  zamýšľať
chcieť =>  zaumieniť si
chechtať sa =>  rehotať sa
chladnokrvnosť =>  kľud
chladnokrvnosť =>  obozretnosť
chladnokrvnosť =>  opatrnosť
chladnokrvnosť =>  pokoj
chladnokrvnosť =>  prezieravosť
chladnokrvnosť =>  rozvážnosť
chladno uvažujúci =>  inteligentný
chladno uvažujúci =>  kľudný
chladno uvažujúci =>  logický
chladno uvažujúci =>  mierny
chladno uvažujúci =>  múdry
chladno uvažujúci =>  racionálny
chladno uvažujúci =>  rozumný
chladno uvažujúci =>  rozumový
chladno uvažujúci =>  rozvážny
chladno uvažujúci =>  uvážlivý
chladno uvažujúci =>  vyrovnaný
chlad =>  zima
chlap =>  chlapík
chlap =>  muž
chlap =>  pán
chlap =>  seňor
chlapský =>  chrabrý
chlapský =>  mužný
chlapský =>  mužský
chlapský =>  nebojácny
chlapský =>  neohrozený
chlapský =>  odvážny
chlapský =>  rozhodný
chlapský =>  smelý
chlapský =>  statočný
chlapský =>  udatný
chľastať =>  hýriť
chľastať =>  nasávať
chľastať =>  piť
chleba =>  chlieb
chlipník =>  roztopašník
chlipník =>  zhýralec
smäd =>  túžba
smäd =>  žiadostivosť
nemorálny =>  nemravný
nemorálny =>  nerestný
nemorálny =>  neslušný
nemorálny =>  obscénny
nemorálny =>  oplzlý
nemorálny =>  zhýralý
chlorofyl =>  zelené rastlinné farbivo
chlpatý =>  huňatý
chlp =>  vlas
chlp =>  štetina
chmúriť sa =>  mračiť sa
chodba =>  pasáž
chodba =>  prechod
chodba =>  prejazd
chodba =>  priechod
chodba =>  ulička
chodiť =>  kráčať
chodiť =>  prechádzať
chodiť =>  ísť
jedlo =>  potravina
jedlo =>  potraviny
jedlo =>  stravovanie
chochol =>  hrebeň
chochol =>  hrebienok
chochol =>  korunka
cholerický =>  prchlivý
chorál =>  chválospev
chorál =>  hymnus
chorál =>  pieseň
chorál =>  song
chorál =>  spev
chorľavý =>  slabý
chorľavý =>  vetchý
choroba =>  neduh
choroba =>  nemoc
chorobný =>  patologický
chorobný =>  škodlivý
chór =>  spevácky zbor
chór =>  súbor
chór =>  zbor
chovateľ =>  pestovateľ
chovateľ =>  producent
chovateľ =>  výrobca
chovať =>  pestovať
chovať =>  udržovať
chrabrosť =>  udatnosť
bazilika =>  cerkev
bazilika =>  chrám
bazilika =>  dóm
bazilika =>  kaplnka
bazilika =>  katedrála
bazilika =>  kostol
bazilika =>  modlitebňa
bazilika =>  svätyňa
chránená oblasť =>  národný park
chránená oblasť =>  prírodná rezervácia
chránená oblasť =>  rezervácia
chránenie =>  ochrana
chránenie =>  patronát
chránenie =>  záštita
chrániť =>  hájiť
chrániť =>  kryť
chrániť =>  obhajovať
chrániť =>  ochraňovať
chrániť =>  zastupovať
chrániť =>  zastúpiť
chrániť =>  kryť
chrániť =>  pokryť
chrániť =>  potiahnuť
chrániť =>  povliecť
chrániť =>  prekryť
chrániť =>  prikryť
chrániť =>  prikrývať
chrániť =>  zakryť
chrápať =>  odpočívať
chrápať =>  spať
chrliť =>  hrnúť sa
chrliť =>  valiť sa
chudák =>  úbožiak
chudák =>  žobrák
bieda =>  chudoba
bieda =>  holota
bieda =>  nedostatok
bieda =>  úbohosť
bieda =>  žobrota
chuchvalec =>  chumáč
chuchvalec =>  otep
chuchvalec =>  snop
chuchvalec =>  zväzok
chuligán =>  násilník
chúlostivý =>  citlivý
chúlostivý =>  delikátny
chúlostivý =>  ošemetný
chumeliť =>  snežiť
chvála =>  vychvaľovanie
chválitebný =>  dosť dobrý
chválitebný =>  znesiteľný
chváliť =>  pochváliť
chváliť =>  vychvaľovať
chvastať sa =>  chváliť sa
chvastať sa =>  pyšniť sa
chvastať sa =>  vystatovať sa
chvastať sa =>  vyťahovať sa
chvastanie =>  vystatovanie
chvat =>  pohotovosť
chvat =>  promptnosť
chvat =>  rýchlosť
chvat =>  tempo
chvejúci sa =>  roztrasený
chvejúci sa =>  trasúci sa
chvejúci sa =>  trasľavý
chvenie =>  trasenie
chvenie =>  vibrácia
chvieť =>  kmitať
chvieť =>  oscilovať
chvieť =>  rozkmitať
chvieť =>  rozochvieť
chvieť =>  rozochvieť sa
chvieť =>  roztriasť
chvieť =>  trepať
chvieť =>  trepotať
chvieť =>  triasť
chvieť =>  vibrovať
chvíľa =>  chvíľka
chvíľa =>  chvíľočka
chvíľa =>  minúta
chvíľa =>  moment
chvíľa =>  okamih
chvíľa =>  okamžik
chvíľa =>  sekundička
chvíľami =>  občas
chvíľami =>  prerušovane
chvíľami =>  príležitostne
chvíľami =>  sem tam
chvíľami =>  z času na čas
chvíľami =>  časom
chyba =>  kaz
chyba =>  kiks
chyba =>  lapsus
chyba =>  nedokonalosť
chyba =>  nedopatrenie
chyba =>  nedostatok
chyba =>  omyl
chyba =>  poškvrna
chyba =>  prehliadnutie
chyba =>  závada
chýbať =>  mať nedostatok
chýbať =>  nemať
chýbať =>  postrádať
chybiť =>  minúť sa
chybne =>  nesprávne
chybne =>  zle
chybne =>  špatne
chybný =>  defektný
chybný =>  falošný
chybný =>  klamný
chybný =>  mylný
chybný =>  nedokonalý
chybný =>  nekvalitný
chybný =>  nepravdivý
chybný =>  nesprávny
chybný =>  vadný
chybný =>  špatný
chýliť sa =>  klesať
chýliť sa =>  letieť
chýliť sa =>  padať
chýliť sa =>  skláňať sa
chýliť sa =>  zvažovať sa
iba =>  len
iba =>  výhradne
ale =>  ibaže
ale =>  lenže
ale =>  no
idea =>  koncept
idea =>  myšlienka
idea =>  nápad
idea =>  plán
idea =>  zámer
idea =>  úmysel
identický =>  rovnajúci sa
identický =>  rovnaký
identický =>  totožný
identický =>  zhodný
identický =>  zodpovedajúci
identita =>  totožnosť
idol =>  modla
idol =>  predmet uctievania
ihlica =>  špajdľa
borovica =>  ihličnan
borovica =>  ihličnatý strom
borovica =>  jedlička
borovica =>  sosna
naraz =>  narýchlo
naraz =>  neočakávane
naraz =>  náhle
naraz =>  okamžite
naraz =>  rýchlo
ilegálny =>  nelegálny
ilegálny =>  nezákonný
ilegálny =>  protiprávny
ilustrovať =>  objasniť
ilustrovať =>  rozjasniť
ilustrovať =>  vyjasniť
imitátor =>  napodobiteľ
imitátor =>  napodobňovateľ
imitovať =>  napodobiť
imperatív =>  rozkazovací spôsob
imperiálny =>  ríšsky
impotencia =>  pohlavná nemohúcnosť
impozantný =>  kúzelný
impozantný =>  očarujúci
impozantný =>  pôsobivý
impozantný =>  skvelý
impozantný =>  úchvatný
impozantný =>  úžasný
impregnovať =>  napustiť
improvizovaný =>  nepripravený
impulzívny =>  nerozvážny
impulzívny =>  prchký
inauguračný =>  otvárací
inauguračný =>  úvodný
index =>  inventár
index =>  katalóg
index =>  listina
index =>  register
index =>  súpis
index =>  zoznam
inertný =>  nereagujúci
infarkt =>  mŕtvica
infekcia =>  nákaza
infekčný =>  morový
infekčný =>  nákazlivý
infekčný =>  prenosný
infikovaný =>  nakazený
infikovať =>  kontaminovať
infikovať =>  nakaziť
infikovať =>  ušpiniť
infikovať =>  zamoriť
infikovať =>  zašpiniť
infikovať =>  znečistiť
informovaný =>  poučený
informovaný =>  zasvätený
ingrediencia =>  komponent
ingrediencia =>  prísada
ingrediencia =>  súčasť
ingrediencia =>  zložka
inhibícia =>  zábrana
iniciatíva =>  podnet
iniciátor =>  podnecovateľ
iniciátor =>  provokatér
inovovať =>  zavádzať
inšpekčný =>  kontrolný
inšpektorát =>  inšpekčný úrad
inšpektor =>  kontrolór
inštinktívny =>  pudový
inštitút =>  ústav
inštruktor =>  kantor
inštruktor =>  pedagóg
inštruktor =>  učiteľ
inštruktor =>  vychovávateľ
integrálny =>  nedeliteľný
integrovať =>  prepojiť
integrovať =>  splynúť
integrovať =>  spojiť
integrovať =>  spojiť sa
integrovať =>  stmeliť
integrovať =>  zjednotiť
integrovať =>  zjednotiť sa
integrovať =>  zlúčiť
integrovať =>  zlúčiť sa
intelekt =>  mienka
intelekt =>  myseľ
intelekt =>  myšlienky
intelekt =>  nálada
intelekt =>  presvedčenie
intelekt =>  vôľa
intelekt =>  zmýšľanie
intelektuálny =>  racionálny
intelektuálny =>  rozumný
intenzívne =>  silno
intenzívne =>  usilovne
intenzívny =>  iskrivý
intenzívny =>  jasný
intenzívny =>  lesklý
intenzívny =>  rozžiarený
intenzívny =>  svetlý
intenzívny =>  svietiaci
intenzívny =>  žiariaci
intenzívny =>  žiarivý
interakcia =>  vzájomné pôsobenie
interesantný =>  markantný
interesantný =>  pozoruhodný
interesantný =>  zaujímavý
domáci =>  interný
domáci =>  vnútorný
interpretácia =>  stvárnenie
interpretácia =>  znázornenie
intervencia =>  zákrok
intervencia =>  zásah
intrigovať =>  konšpirovať
intrigovať =>  kuť pikle
intrigovať =>  spiknúť sa
intrigovať =>  spojiť sa
intrigovať =>  spolupracovať
intrigovať =>  spolčiť sa
invázia =>  nájazd
invázia =>  preniknutie
invázia =>  vniknutie
invázia =>  vpád
invázia =>  vtrhnutie
invektíva =>  písomné napadnutie
invektíva =>  slovné napadnutie
invektíva =>  výpad
inverzný =>  obrátený
inverzný =>  prevrátený
inverzný =>  recipročný
diferencovaný =>  iný
diferencovaný =>  nerovnaký
diferencovaný =>  odlišný
diferencovaný =>  rozdielny
diferencovaný =>  rozličný
diferencovaný =>  rozmanitý
diferencovaný =>  rôznorodý
diferencovaný =>  rôzny
inzercia =>  inzerát
inzercia =>  marketing
inzercia =>  propaganda
inzercia =>  propagácia
inzercia =>  reklama
inzerovať =>  propagovať
inzerovať =>  robiť reklamu
inzerovať =>  rozširovať
inzerovať =>  vydávať
inzerovať =>  šíriť
inžinier =>  mechanik
inžinier =>  strojník
inžinier =>  technik
irelevantný =>  nezávažný
irelevantný =>  vedľajší
irónia =>  posmech
iskra =>  temperament
iskra =>  verva
iskrička =>  náznak
iskrička =>  zablesknutie
iskrička =>  záblesk
iskriť =>  iskriť sa
iskriť =>  lesknúť sa
iskriť =>  svietiť
iskriť =>  trblietať sa
iskriť =>  vyžarovať
iskriť =>  žiariť
postupovať =>  postúpiť
postupovať =>  ísť dopredu
obťažovať =>  otravovať
obťažovať =>  prenasledovať
obťažovať =>  rozčuľovať
obťažovať =>  sužovať
obťažovať =>  súžiť
obťažovať =>  trápiť
obťažovať =>  znepokojovať
obťažovať =>  ísť na nervy
istota =>  nepochybnosť
izba =>  miestnosť
izolepa =>  samolepiaca páska
izolovaný =>  oddelený
izolovaný =>  osamotený
jačať =>  kričať
jačať =>  revať
jačať =>  vrieskať
jačať =>  vyhŕknuť
jačať =>  vykríknuť
jačať =>  zajačať
jačať =>  zakričať
jačať =>  zavolať
jačať =>  zavrieskať
jačať =>  zvolať
jadrový =>  nukleárny
jama =>  priehlbina
jamka =>  prehĺbenina
jamka =>  prepadlina
jasanie =>  jasot
jasať =>  plesať
jas =>  lesk
jas =>  žiara
jasnozrivý =>  prorocký
jasnozrivý =>  veštecký
jasný =>  krikľavý
jasný =>  markantný
jasný =>  nápadný
jasný =>  názorný
jasný =>  okatý
jasný =>  rozoznateľný
jasný =>  viditeľný
jasný =>  zreteľný
klobása =>  párok
klobása =>  saláma
javisko =>  scéna
javiť sa =>  pripadať
javiť sa =>  zdať sa
jazda =>  jazdectvo
jedenkrát =>  raz
jeden po druhom =>  jednotlivo
jedinečnosť =>  ojedinelosť
jednoducho =>  proste
jednoducho =>  skrátka
jednofarebný =>  monochromatický
jednomyseľný =>  jednotný
jednomyseľný =>  spoločný
jednostranný =>  zaujatý
jednotka =>  výborná
kaša =>  pyré
jesť =>  obedovať
jesť =>  požierať
jesť =>  stolovať
jesť =>  súkať
jesť =>  večerať
jesť =>  živiť sa
jesť =>  žrať
Boh =>  Ježiš
Boh =>  Kristus
Boh =>  Spasiteľ
Boh =>  Vykupiteľ
justícia =>  súdnictvo
južne =>  na juh
kabaret =>  varieté
kabát =>  plášť
kabát =>  zimník
kabát =>  zvrchník
kabela =>  taška
kabela =>  školská aktovka
kábel =>  motúz
kábel =>  povraz
kábel =>  povrázok
kábel =>  remienok
kábel =>  šnúra
kábel =>  špagát
kadencia =>  rýchlosť paľby
kachlička =>  obkladačka
katastrofa =>  malér
katastrofa =>  nehoda
katastrofa =>  nemilosť
katastrofa =>  nepriazeň
katastrofa =>  nepríjemnosť
katastrofa =>  nešťastie
katastrofa =>  pohroma
katastrofa =>  smola
katastrofa =>  tragédia
kalciferol =>  vitamín D
kalcifikovať =>  vápenatieť
kalcit =>  vápenec
kalcium =>  vápnik
kalcium =>  vápno
kaliť =>  tvrdiť
kalkul =>  počítanie
kalkul =>  súčet
kalkul =>  sčítanie
kameň =>  kamienok
kameň =>  okruhliak
kameň =>  skala
kameň =>  štrk
kameň =>  šuter
kameňovať =>  ukameňovať
kamizola =>  kazajka
kamkoľvek =>  kdekoľvek
kampaň =>  ťah
kampaň =>  ťaženie
kamufláž =>  maskovanie
kamuflovať =>  maskovať
kamuflovať =>  schovať
kamuflovať =>  skryť
kamuflovať =>  ukryť
kamuflovať =>  utajiť
kamuflovať =>  ututlať
kamuflovať =>  zamlčať
kamuflovať =>  zatajiť
kanálik =>  ryha
kanálik =>  vrub
